vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
0,0,1,0,0.01027404704264967,5.1751940510769145e-08,
1,0,1,0,0.010176775989075182,3.499470970780294e-07,
2,0,1,0,0.0099126237929008099,1.1843395508748245e-06,
3,0,1,0,0.0094956187110248891,2.4119168076097708e-06,
4,0,1,0,0.0088939562865952837,3.8517158840178922e-06,
5,0,1,0,0.0081441656265690554,5.2530008973761255e-06,
6,0,1,0,0.0072718504838604758,6.3643738332785915e-06,
7,0,1,0,0.0062538554898621257,6.9562977786929991e-06,
8,0,1,0,0.0051362869597273431,6.9089485421613972e-06,
9,0,1,0,0.0039348530354672562,6.1532820243570541e-06,
10,0,1,0,0.0026594696489050662,4.7195953420953174e-06,
11,0,1,0,0.0013423468057753851,2.7533237672017208e-06,
12,0,1,0,-5.9809934782606433e-12,4.5371970358587532e-07,
13,0,1,0,-0.0013417951779350901,-1.9162236082337358e-06,
14,0,1,0,-0.0026584937696139121,-4.0800548672947912e-06,
15,0,1,0,-0.0039381414180885699,-5.8081415321709073e-06,
16,0,1,0,-0.0051373448685678724,-6.8784755775652684e-06,
17,0,1,0,-0.0062561870228101668,-7.2172776377499304e-06,
18,0,1,0,-0.0072714533596549558,-6.8198388918361275e-06,
19,0,1,0,-0.008151713404119576,-5.7918318683292114e-06,
20,0,1,0,-0.0089022966134608694,-4.3542866121626389e-06,
21,0,1,0,-0.0094920524812236451,-2.7781679579064189e-06,
22,0,1,0,-0.0099253413936413182,-1.3708770838505302e-06,
23,0,1,0,-0.010187369059297069,-4.0480369278839134e-07,
24,0,1,0,-0.01027848580652968,-5.4894181644726814e-08,
25,0,1,0,-0.010187369088334286,-4.0480297602840665e-07,
26,0,1,0,-0.0099253413648483502,-1.3708774675436075e-06,
27,0,1,0,-0.0094920524812236451,-2.7781678051397307e-06,
28,0,1,0,-0.0089022966134617576,-4.354286661012452e-06,
29,0,1,0,-0.008151713404119576,-5.7918319011918129e-06,
30,0,1,0,-0.0072714533596549558,-6.8198389362450484e-06,
31,0,1,0,-0.0062561871446353834,-7.2172759972843892e-06,
32,0,1,0,-0.0051373447505262959,-6.8784766966700772e-06,
33,0,1,0,-0.0039381412175698571,-5.8081416041133593e-06,
34,0,1,0,-0.0026584939634908267,-4.0800549294672805e-06,
35,0,1,0,-0.0013417951779342019,-1.9162236153391632e-06,
36,0,1,0,-5.9809934782606433e-12,4.53719707138589e-07,
37,0,1,0,0.0013423468057753851,2.7533237734189697e-06,
38,0,1,0,0.0026594696489050662,4.7195953456480311e-06,
39,0,1,0,0.0039348530354672562,6.1532820270215893e-06,
40,0,1,0,0.0051362869597273431,6.9089485448259325e-06,
41,0,1,0,0.0062538554898621257,6.9562977778048207e-06,
42,0,1,0,0.0072718504838604758,6.3643738315022347e-06,
43,0,1,0,0.0081441656265690554,5.2530008964879471e-06,
44,0,1,0,0.0088939562865952837,3.8517158840178922e-06,
45,0,1,0,0.0094956187110248891,2.4119168067215924e-06,
46,0,1,0,0.0099126237929008099,1.1843395455457539e-06,
47,0,1,0,0.010176775989075182,3.4994709885438624e-07,
48,0,1,0,0.010275965543007359,4.4061172488341072e-09,
49,0,1,0,0.010185308711387009,3.0147132967783818e-07,
50,0,1,0,0.0099265158928574238,1.1459985387318739e-06,
51,0,1,0,0.0094875628001114265,2.4024557454538353e-06,
52,0,1,0,0.008889508533478363,3.8485607563032431e-06,
53,0,1,0,0.008154358460743083,5.2435760791169628e-06,
54,0,1,0,0.0072711921342500929,6.3598403432507666e-06,
55,0,1,0,0.0062493280913811233,6.9535004714182946e-06,
56,0,1,0,0.0051385436155788611,6.9107379507826749e-06,
57,0,1,0,0.0039352110017807362,6.1528723191983659e-06,
58,0,1,0,0.0026594335554657178,4.719829259869357e-06,
59,0,1,0,0.0013410920521197411,2.7503535857675843e-06,
60,0,1,0,2.5650834345469775e-08,4.5469006426657188e-07,
61,0,1,0,-0.0013415879583646984,-1.9163042432879251e-06,
62,0,1,0,-0.0026589393827300967,-4.0780367998038969e-06,
63,0,1,0,-0.0039343989460514095,-5.7987369403988964e-06,
64,0,1,0,-0.0051346197137132066,-6.8647727964332717e-06,
65,0,1,0,-0.0062512941970851443,-7.1977958970848022e-06,
66,0,1,0,-0.0072686935712171774,-6.7988214791370183e-06,
67,0,1,0,-0.0081442915284259954,-5.7587458712760053e-06,
68,0,1,0,-0.0088957247800474093,-4.318189750662782e-06,
69,0,1,0,-0.0094855915214058228,-2.7418953099100918e-06,
70,0,1,0,-0.009919746222806225,-1.3293805416481064e-06,
71,0,1,0,-0.010176543753464884,-3.5628923278352431e-07,
72,0,1,0,-0.010272940415875453,-1.171596686333487e-08,
73,0,1,0,-0.010176543443124686,-3.5628785433061694e-07,
74,0,1,0,-0.0099197464851066286,-1.3293815737114301e-06,
75,0,1,0,-0.0094855915662135359,-2.7418950976354495e-06,
76,0,1,0,-0.0088957247800465211,-4.3181899105348975e-06,
77,0,1,0,-0.0081442915284259954,-5.7587459583174905e-06,
78,0,1,0,-0.0072686935712162892,-6.798821527098653e-06,
79,0,1,0,-0.0062512941970851443,-7.1977959130720137e-06,
80,0,1,0,-0.0051346197137132066,-6.8647728683757236e-06,
81,0,1,0,-0.0039343991465523587,-5.7987368409229134e-06,
82,0,1,0,-0.0026589391824964892,-4.0780376693305698e-06,
83,0,1,0,-0.0013415879645277684,-1.9163034838953763e-06,
84,0,1,0,2.5650834345469775e-08,4.5469006160203662e-07,
85,0,1,0,0.0013410920521206293,2.7503535786621569e-06,
86,0,1,0,0.0026594335554648296,4.7198292509875728e-06,
87,0,1,0,0.0039352110017816244,6.1528723049875111e-06,
88,0,1,0,0.0051385436155797493,6.9107379214727871e-06,
89,0,1,0,0.0062493280913811233,6.9535004136866974e-06,
90,0,1,0,0.0072711921342500929,6.3598402251230368e-06,
91,0,1,0,0.0081543584607439712,5.2435758428615031e-06,
92,0,1,0,0.0088895089753897594,3.8485575384328286e-06,
93,0,1,0,0.009487562363381663,2.4024582909731862e-06,
94,0,1,0,0.0099265158928574238,1.1459987980799724e-06,
95,0,1,0,0.010185308711387897,3.0147144158831907e-07,
96,0,1,0,0.010266264368009814,3.5692822031307969e-08,
97,0,1,0,0.01018133937739929,3.2460071341944285e-07,
98,0,1,0,0.0099250156725911864,1.1578223677588539e-06,
99,0,1,0,0.0094873448260450743,2.3949285044011503e-06,
100,0,1,0,0.0089045657274509082,3.8398373654047191e-06,
101,0,1,0,0.0081451360341695533,5.239296720027653e-06,
102,0,1,0,0.0072728864630153822,6.3554871800874935e-06,
103,0,1,0,0.0062533106122115711,6.9517776504213202e-06,
104,0,1,0,0.0051397412053404423,6.9088908229986146e-06,
105,0,1,0,0.0039332069353621435,6.1514214788616073e-06,
106,0,1,0,0.0026577095652182692,4.7176174717833419e-06,
107,0,1,0,0.0013415554021989351,2.7522124685930294e-06,
108,0,1,0,-2.6343371928305714e-12,4.5376235391358932e-07,
109,0,1,0,-0.0013414611372439822,-1.9151433399144935e-06,
110,0,1,0,-0.0026586443349261302,-4.0791585753652271e-06,
111,0,1,0,-0.0039361635489267854,-5.8035279071333434e-06,
112,0,1,0,-0.005135787041465889,-6.8719251871129927e-06,
113,0,1,0,-0.0062551043379830418,-7.2109540125708804e-06,
114,0,1,0,-0.0072711027967464759,-6.812997517258168e-06,
115,0,1,0,-0.0081472322666797936,-5.7768625216780833e-06,
116,0,1,0,-0.0089023975960920154,-4.3424089088972551e-06,
117,0,1,0,-0.0094851514552667382,-2.7577926964283961e-06,
118,0,1,0,-0.0099274583340438483,-1.3574468233912285e-06,
119,0,1,0,-0.010179656707513196,-3.8231538290744993e-07,
120,0,1,0,-0.010277198277421462,-3.6509316458932517e-08,
121,0,1,0,-0.010179658795824942,-3.8231961330126296e-07,
122,0,1,0,-0.0099274580717407801,-1.357447088956576e-06,
123,0,1,0,-0.0094851514104599133,-2.7577934842426544e-06,
124,0,1,0,-0.0089023975960920154,-4.3424090279131633e-06,
125,0,1,0,-0.0081472322666789054,-5.7768625811860375e-06,
126,0,1,0,-0.0072711027967446995,-6.812997567884338e-06,
127,0,1,0,-0.0062551043379830418,-7.2109539903664199e-06,
128,0,1,0,-0.005135787041465889,-6.8719251817839222e-06,
129,0,1,0,-0.0039361635489267854,-5.8035278920343103e-06,
130,0,1,0,-0.0026586443412996985,-4.0791576640941685e-06,
131,0,1,0,-0.0013414611310818003,-1.9151440957543286e-06,
132,0,1,0,-2.6343371928305714e-12,4.537623530254109e-07,
133,0,1,0,0.0013415554021998233,2.7522124694812078e-06,
134,0,1,0,0.0026577095656161731,4.71761800113768e-06,
135,0,1,0,0.0039332069349766741,6.1514210916158163e-06,
136,0,1,0,0.0051397412053404423,6.9088908452030751e-06,
137,0,1,0,0.006253310612210683,6.951777702823847e-06,
138,0,1,0,0.0072728864630153822,6.3554872928861528e-06,
139,0,1,0,0.0081451360341695533,5.2392969518422206e-06,
140,0,1,0,0.0089045652855297419,3.8398405806105984e-06,
141,0,1,0,0.0094873452627872723,2.3949259659872268e-06,
142,0,1,0,0.0099250156725902983,1.1578221217334317e-06,
143,0,1,0,0.01018133937739929,3.2460060683803249e-07,
144,0,1,0,0.010275542966059703,1.8194109330238462e-08,
145,0,1,0,0.010179275654102149,3.2421620765887837e-07,
146,0,1,0,0.0099250590561599239,1.1643080277679019e-06,
147,0,1,0,0.0094825100102537974,2.4069454074293617e-06,
148,0,1,0,0.0089040331927883187,3.847290273917281e-06,
149,0,1,0,0.0081453853158048872,5.2457790955529049e-06,
150,0,1,0,0.0072692580801971829,6.3589436258837395e-06,
151,0,1,0,0.0062562849556790923,6.9596107863389989e-06,
152,0,1,0,0.0051307011324714935,6.9039833885398139e-06,
153,0,1,0,0.0039375916863608751,6.1572569070023064e-06,
154,0,1,0,0.0026596583160944931,4.7197702581769363e-06,
155,0,1,0,0.0013418419910378176,2.7516629055313047e-06,
156,0,1,0,-4.1406877926419838e-12,4.5365923639906214e-07,
157,0,1,0,-0.0013416662251692912,-1.9149168473120426e-06,
