vertex,u
0,-0.23904513392240465
1,-0.23733156594659191
2,-0.23220601538684338
3,-0.22370567707597744
4,-0.21188676792327271
5,-0.19684261300741315
6,-0.17869234180456003
7,-0.15758443653910942
8,-0.13371265660560133
9,-0.10730836008287786
10,-0.078655467430884349
11,-0.048086681503787317
12,-0.015994406781686409
13,0.017162486100950683
14,0.050859220668008395
15,0.084508822888781837
16,0.11746245484215991
17,0.14901642503100643
18,0.17843560827262822
19,0.20496833823788388
20,0.22788774756906607
21,0.24651856691553195
22,0.26028041721022244
23,0.26872695972281435
24,0.27157560552339832
25,0.26872695975082989
26,0.26028041724173728
27,0.24651856695268926
28,0.2278877475968932
29,0.20496833826132713
30,0.17843560829550409
31,0.14901642505882878
32,0.11746245482013416
33,0.084508822859812191
34,0.050859220699477792
35,0.01716248611888355
36,-0.015994406770080898
37,-0.048086681495248869
38,-0.078655467423903364
39,-0.10730836007674914
40,-0.13371265660001055
41,-0.1575844365339612
42,-0.17869234179988749
43,-0.1968426130033141
44,-0.21188676791984618
45,-0.22370567707326033
46,-0.23220601538496832
47,-0.23733156594564131
48,-0.23904979619179847
49,-0.23733680208172706
50,-0.2322109545881598
51,-0.22370706555882441
52,-0.21188792222359659
53,-0.1968454970643824
54,-0.17869335798345326
55,-0.15758405506411818
56,-0.13371351442368334
57,-0.10730861365165568
58,-0.078655043847824624
59,-0.048084870019035206
60,-0.01599466524125193
61,0.017162571184822513
62,0.050857921861305777
63,0.084509491236945233
64,0.11746079635469391
65,0.14901535309808284
66,0.17843311901176376
67,0.20496564186771365
68,0.22788516921832258
69,0.24651503148733164
70,0.26027708277778605
71,0.26872265680729257
72,0.27157179967996847
73,0.26872265684274071
74,0.26027708289809787
75,0.24651503157530691
76,0.22788516927137339
77,0.20496564190238376
78,0.17843311903770798
79,0.14901535312097969
80,0.11746079637664279
81,0.084509491270766748
82,0.050857921833661703
83,0.017162571174485473
84,-0.015994665245883104
85,-0.048084870021111246
86,-0.078655043849134715
87,-0.10730861365364666
88,-0.13371351442788854
89,-0.15758405507293574
90,-0.17869335800093172
91,-0.19684549709751725
92,-0.21188792228455222
93,-0.22370706549926414
94,-0.2322109545569378
95,-0.23733680206833932
96,-0.23904719186464188
97,-0.237335214764887
98,-0.23221081696485699
99,-0.22370841679080394
100,-0.21189148057139873
101,-0.19684568489857024
102,-0.17869448932897355
103,-0.15758594441272969
104,-0.13371424749416808
105,-0.10730788391606713
106,-0.078653654746585491
107,-0.048084941979529665
108,-0.01599352929612104
109,0.017162480453275564
110,0.050858986486237302
111,0.084509533603128184
112,0.11746178741996526
113,0.14901545164280985
114,0.17843475737642164
115,0.20496689715324995
116,0.22788703733708893
117,0.24651626954739614
118,0.26027925091439502
119,0.2687241309966889
120,0.27157330575676397
121,0.26872413144571938
122,0.26027925104110683
123,0.24651626959200776
124,0.22788703735895474
125,0.20496689716472033
126,0.17843475738395581
