face,theta,dir0x,dir0y,dir0z,cx,cy,cz
0,3.21129e-18,0.80958,0.448139,0.379146,-0.156626,-0.0390225,0.964835
1,-0.034637,-0.770619,-0.418932,-0.480252,-0.19273,-0.0485103,0.948201
2,2.54454e-05,-0.809567,-0.44816,-0.379148,-0.133597,-0.0484963,0.969352
3,-0.00215812,-0.829973,-0.459995,-0.315514,-0.142024,-0.0197036,0.97312
4,0.445369,0.751145,0.387807,0.534216,-0.182442,-0.0755182,0.94083
5,0.447238,-0.746675,-0.393523,-0.536299,-0.204845,-0.0667565,0.93535
6,0.445529,-0.727963,-0.354352,-0.586945,-0.193437,-0.0920115,0.925534
7,0.487637,-0.788407,-0.42655,-0.443249,-0.147298,-0.0667458,0.958198
8,0.271592,-0.491125,0.871083,0.0032988,-0.0799676,-0.019689,0.987408
9,0.266455,0.520052,-0.844924,-0.125098,-0.0955565,-0.0390079,0.981128
10,0.271593,0.494865,-0.8683,-0.0341134,-0.0402071,-0.00984315,0.993117
11,0.252515,0.478517,-0.877697,0.0258697,-0.103407,-0.00985846,0.983917
12,0.225902,-0.438008,0.892546,-0.107291,-0.201548,-0.0197189,0.950778
13,0.204997,0.486749,-0.873455,-0.0123489,-0.214926,-0.0390365,0.940699
14,0.234012,0.45478,-0.886532,0.0850667,-0.164751,-0.00987376,0.966565
15,0.214219,0.423539,-0.895464,0.136963,-0.22318,-0.00988774,0.94127
16,-0.753703,-0.556016,0.374496,0.742023,0.102603,-0.131276,0.91751
17,-0.742671,0.556171,-0.364002,-0.747112,0.11967,-0.136053,0.905181
18,0.784897,0.815594,0.488399,0.310279,0.121317,-0.120131,0.926953
19,0.743742,0.808899,0.364521,0.461309,0.0667072,-0.136052,0.917346
20,0.726276,-0.524341,0.446448,0.725087,0.174973,-0.120131,0.907495
21,0.691238,0.526031,-0.338214,-0.780322,0.155228,-0.131278,0.900614
22,0.702396,0.488035,-0.419505,-0.7654,0.210701,-0.113761,0.897237
23,0.620352,0.518061,-0.465074,-0.717857,0.158129,-0.113761,0.921505
24,0.225532,-0.813604,-0.451113,-0.366804,0.065526,-0.120132,0.939034
25,0.292367,0.818617,0.489132,0.301023,0.10278,-0.113763,0.938531
26,0.222971,0.814753,0.452428,0.362611,0.0456121,-0.113766,0.948052
27,0.26158,0.80758,0.368436,0.460511,0.0481669,-0.131276,0.927293
