face,theta,dir0x,dir0y,dir0z,cx,cy,cz
0,-7.6232e-18,0.0578968,-0.315676,0.947099,0.997376,0.00870199,-0.0522613
1,0.647441,-0.0993085,0.312771,-0.944623,0.992839,0.0432113,-0.0520826
2,0.649774,-0.139664,0.302251,-0.942941,0.985546,0.0682786,-0.0517293
3,0.654936,-0.179024,0.288062,-0.940729,0.975049,0.0921786,-0.0512066
4,0.660744,-0.21623,0.268463,-0.938708,0.961529,0.114501,-0.050524
5,0.66978,-0.252104,0.24555,-0.936028,0.945219,0.134865,-0.0496933
6,0.675601,-0.282104,0.215143,-0.93495,0.926393,0.152921,-0.048728
7,0.684444,-0.30936,0.182214,-0.933324,0.905378,0.168359,-0.0476446
8,0.694849,-0.332655,0.146004,-0.931678,0.882531,0.180919,-0.046462
9,0.704592,-0.34976,0.106298,-0.930789,0.858245,0.190381,-0.0452
10,0.713988,-0.360371,0.0644067,-0.930583,0.832933,0.196587,-0.0438813
11,0.722323,-0.363667,0.0214507,-0.931282,0.80703,0.199429,-0.042528
12,0.734969,-0.364641,-0.0215134,-0.9309,0.780978,0.198859,-0.0411626
13,0.752605,-0.364053,-0.0651615,-0.929096,0.755224,0.194885,-0.0398087
14,0.771582,-0.358411,-0.109265,-0.927148,0.730208,0.187579,-0.0384893
15,-0.0909387,0.341363,0.150371,0.927825,0.714179,0.180919,-0.037228
16,-0.776845,0.768795,0.523312,-0.367557,0.684082,0.163515,-0.0360453
17,-0.764204,0.693681,0.620889,-0.365108,0.66376,0.147171,-0.034962
18,-0.130268,0.258626,0.253159,0.932214,0.651492,0.134865,-0.0339967
19,-0.745726,0.509693,0.783674,-0.355061,0.630336,0.107251,-0.0331653
20,-0.73964,0.40348,0.846041,-0.348451,0.617804,0.0843573,-0.0324827
21,-0.738105,0.290453,0.894812,-0.339041,0.608362,0.0600213,-0.03196
22,-0.73972,0.171837,0.928781,-0.328388,0.60217,0.0346586,-0.0316067
23,-0.180394,0.0581258,0.319488,0.945806,0.599906,0.017404,-0.0314287
24,-0.747742,-0.0742966,0.948221,-0.308798,0.599906,-0.017404,-0.0314287
25,-0.1905,-0.022682,0.302367,0.952922,0.60217,-0.0346586,-0.0316067
26,-0.189208,-0.0604979,0.288859,0.955458,0.608362,-0.0600213,-0.03196
27,-0.184356,-0.0964839,0.271947,0.957463,0.617804,-0.0843573,-0.0324827
28,-0.17792,-0.129572,0.250377,0.959439,0.630336,-0.107251,-0.0331653
29,0.775951,0.158632,-0.223974,-0.961598,0.651492,-0.134865,-0.0339967
30,-0.161142,-0.185235,0.195616,0.963028,0.66376,-0.147171,-0.034962
31,-0.148227,-0.20949,0.165281,0.963741,0.684082,-0.163515,-0.0360453
32,0.739235,0.228697,-0.131504,-0.964575,0.714179,-0.180919,-0.037228
33,0.721568,0.239034,-0.0940078,-0.96645,0.738465,-0.190381,-0.0384893
34,-0.11609,-0.248564,0.0570028,0.966937,0.755224,-0.194885,-0.0398087
35,-0.0993071,-0.258047,0.0194112,0.965937,0.780978,-0.198859,-0.0411626
36,-0.0862156,-0.259487,-0.0195056,0.96555,0.80703,-0.199429,-0.042528
37,-0.0767881,-0.253045,-0.0578863,0.965721,0.832933,-0.196587,-0.0438813
38,-0.066528,-0.243214,-0.0954232,0.965267,0.858245,-0.190381,-0.0452
39,-0.0563789,-0.229271,-0.131757,0.964404,0.882531,-0.180919,-0.046462
40,-0.043962,-0.213204,-0.167728,0.962503,0.905378,-0.168359,-0.0476446
41,-0.0332922,-0.191753,-0.201236,0.960591,0.926393,-0.152921,-0.048728
42,-0.0251964,-0.164784,-0.230874,0.958928,0.945219,-0.134865,-0.0496933
43,-0.0147758,-0.135812,-0.259483,0.95615,0.961529,-0.114501,-0.050524
44,-0.00991249,-0.10085,-0.28054,0.954529,0.975049,-0.0921786,-0.0512066
45,-0.00699258,-0.0630497,-0.296031,0.953095,0.985546,-0.0682786,-0.0517293
46,-0.00351671,-0.0239048,-0.307943,0.951105,0.992839,-0.0432113,-0.0520826
47,0.644653,0.0164912,-0.316516,0.948444,0.997833,-0.017404,-0.026108
48,-0.00332445,0.131962,-0.312522,0.9407,0.990201,0.00870199,-0.130354
49,0.637214,-0.171627,0.303259,-0.937325,0.985693,0.0432113,-0.12982
50,-0.0134859,0.209635,-0.290184,0.933727,0.981244,0.0600213,-0.129115
51,0.637562,-0.245643,0.273276,-0.930043,0.968026,0.0921786,-0.127551
52,-0.0232012,0.279589,-0.252817,0.926236,0.959431,0.107251,-0.126189
53,0.643964,-0.309675,0.227122,-0.923319,0.938406,0.134865,-0.123701
54,-0.0387918,0.335946,-0.197782,0.920881,0.926251,0.147171,-0.121776
55,0.648917,-0.355058,0.163436,-0.920447,0.898849,0.168359,-0.118533
56,-0.061416,0.373216,-0.129631,0.918643,0.883963,0.177061,-0.116175
57,-0.0756104,0.383375,-0.0926274,0.918936,0.860284,0.187579,-0.113046
58,-0.0876076,0.391297,-0.0558625,0.918567,0.835449,0.194885,-0.109769
59,-0.104363,0.390751,-0.0183683,0.920313,0.80988,0.198859,-0.106399
60,0.683075,-0.389422,-0.0182774,-0.920878,0.775341,0.198859,-0.102311
61,0.699177,-0.388272,-0.0552344,-0.919888,0.749773,0.194885,-0.0989399
62,0.713739,-0.380492,-0.0916092,-0.920235,0.724937,0.187579,-0.0956619
63,0.726621,-0.366467,-0.126151,-0.921839,0.701259,0.177061,-0.0925333
64,0.739528,-0.348208,-0.158636,-0.923897,0.679145,0.163515,-0.0896066
65,0.753166,-0.326699,-0.18919,-0.925999,0.658972,0.147171,-0.0869326
66,0.766821,-0.30169,-0.217422,-0.928284,0.641085,0.128309,-0.0845559
67,0.780095,-0.273453,-0.242888,-0.930714,0.625791,0.107251,-0.0825186
68,-0.778672,0.38465,0.857022,-0.342866,0.613352,0.0843573,-0.0808546
69,-0.767237,0.269122,0.903466,-0.33365,0.603979,0.0600213,-0.0795926
70,-0.757068,0.148514,0.934117,-0.324607,0.597834,0.0346586,-0.0787546
71,-0.194582,0.131779,0.306057,0.942848,0.59559,0.017404,-0.0783993
72,-0.742861,-0.0987906,0.946694,-0.306613,0.59559,-0.017404,-0.0783993
73,-0.737075,-0.221195,0.92795,-0.29997,0.59953,-0.0432113,-0.078888
74,-0.733719,-0.339938,0.893449,-0.293584,0.606774,-0.0682786,-0.0798126
75,-0.150767,-0.0362955,0.300507,0.953089,0.613352,-0.0843573,-0.0808546
76,-0.137654,-0.076493,0.282097,0.956332,0.625791,-0.107251,-0.0825186
77,-0.124162,-0.113619,0.257476,0.959581,0.641085,-0.128309,-0.0845559
78,-0.110884,-0.146543,0.227013,0.962803,0.658972,-0.147171,-0.0869326
79,-0.0973352,-0.174956,0.192059,0.965662,0.679145,-0.163515,-0.0896066
80,-0.0839506,-0.198138,0.153284,0.968114,0.701259,-0.177061,-0.0925333
81,-0.0709826,-0.215648,0.111464,0.970089,0.724937,-0.187579,-0.0956619
82,0.759782,0.221084,-0.0664744,-0.972987,0.758299,-0.196587,-0.0996113
83,-0.0526246,-0.227057,0.0223091,0.973626,0.775341,-0.198859,-0.102311
