face,alpha_mod,dirx,diry,dirz,cx,cy,cz
0,0,0.0578968,-0.315676,0.947099,0.997376,0.00870199,-0.0522613
1,0.193627,-0.0138027,-0.126425,-0.99188,0.992839,0.0432113,-0.0520826
2,1.23975,-0.27833,0.750455,-0.599458,0.985546,0.0682786,-0.0517293
3,1.53355,-0.426575,0.837828,-0.340702,0.975049,0.0921786,-0.0512066
4,1.31759,-0.484146,0.693268,-0.533837,0.961529,0.114501,-0.050524
5,0.095471,0.119524,-0.180043,-0.97637,0.945219,0.134865,-0.0496933
6,1.11443,-0.55159,0.459672,-0.696024,0.926393,0.152921,-0.048728
7,1.56371,-0.791829,0.520721,-0.31915,0.905378,0.168359,-0.0476446
8,1.33695,-0.765223,0.367141,-0.528811,0.882531,0.180919,-0.046462
9,1.36696,-0.816984,0.2705,-0.509281,0.858245,0.190381,-0.0452
10,1.29786,-0.803516,0.155338,-0.574659,0.832933,0.196587,-0.0438813
11,1.2256,-0.766742,0.0486357,-0.640111,0.80703,0.199429,-0.042528
12,0.0919948,0.265088,0.019868,-0.964019,0.780978,0.198859,-0.0411626
13,0.139927,0.225879,0.0525354,-0.972738,0.755224,0.194885,-0.0398087
14,0.407535,-0.0228319,0.00559278,-0.999724,0.730208,0.187579,-0.0384893
15,1.53607,0.80889,0.407183,-0.424145,0.714179,0.180919,-0.037228
16,0.10886,0.241,0.186039,-0.952527,0.684082,0.163515,-0.0360453
17,0.21119,0.148538,0.163856,-0.975237,0.66376,0.147171,-0.034962
18,1.37546,0.622423,0.723186,-0.299319,0.651492,0.134865,-0.0339967
19,1.49647,-0.491491,-0.705485,-0.510615,0.630336,0.107251,-0.0331653
20,1.47049,-0.388233,-0.744045,-0.543757,0.617804,0.0843573,-0.0324827
21,0.0883679,0.0921722,0.378182,-0.921131,0.608362,0.0600213,-0.03196
22,0.331014,-0.00519058,0.168712,-0.985652,0.60217,0.0346586,-0.0316067
23,1.07632,0.0648404,0.997792,-0.0143862,0.599906,0.017404,-0.0314287
24,0.84488,-0.0153611,-0.331432,-0.943354,0.599906,-0.017404,-0.0314287
25,0.301892,-0.113314,0.707529,0.697541,0.60217,-0.0346586,-0.0316067
26,0.552941,-0.259306,0.82244,0.506313,0.608362,-0.0600213,-0.03196
27,0.352583,-0.304258,0.670923,0.676232,0.617804,-0.0843573,-0.0324827
28,0.31047,-0.36824,0.593219,0.715884,0.630336,-0.107251,-0.0331653
29,0.457515,-0.0498232,0.0120747,-0.998685,0.651492,-0.134865,-0.0339967
30,0.0388149,-0.326319,0.316841,0.890577,0.66376,-0.147171,-0.034962
31,0.262648,-0.513483,0.363492,0.777309,0.684082,-0.163515,-0.0360453
32,1.56257,0.791508,-0.399356,-0.462634,0.714179,-0.180919,-0.037228
33,0.250329,-0.203008,0.0558653,-0.977582,0.738465,-0.190381,-0.0384893
34,0.332224,-0.635238,0.132314,0.760898,0.755224,-0.194885,-0.0398087
35,0.285178,-0.600754,0.0414533,0.798359,0.780978,-0.198859,-0.0411626
36,0.736197,-0.882632,-0.0590869,0.466337,0.80703,-0.199429,-0.042528
37,0.680647,-0.834907,-0.170169,0.523423,0.832933,-0.196587,-0.0438813
38,0.679609,-0.79983,-0.278561,0.531672,0.858245,-0.190381,-0.0452
39,0.697475,-0.760639,-0.385251,0.522504,0.882531,-0.180919,-0.046462
40,0.414657,-0.547003,-0.385019,0.743336,0.905378,-0.168359,-0.0476446
41,0.893362,-0.696654,-0.623104,0.355548,0.926393,-0.152921,-0.048728
42,0.354515,-0.389815,-0.479742,0.786061,0.945219,-0.134865,-0.0496933
43,0.794864,-0.484194,-0.7511,0.448781,0.961529,-0.114501,-0.050524
44,0.924824,-0.407274,-0.852036,0.328881,0.975049,-0.0921786,-0.0512066
45,0.783491,-0.26978,-0.847552,0.457027,0.985546,-0.0682786,-0.0517293
46,0.305776,-0.0828153,-0.57678,0.812691,0.992839,-0.0432113,-0.0520826
47,0.308524,0.0401118,0.0133295,0.999106,0.997833,-0.017404,-0.026108
48,0.0422313,0.132955,-0.355354,0.925228,0.990201,0.00870199,-0.130354
49,0.246973,-0.10252,-0.0743732,-0.991947,0.985693,0.0432113,-0.12982
50,1.49255,0.280655,-0.918332,-0.279106,0.981244,0.0600213,-0.129115
51,0.628136,-0.242029,0.265211,-0.933319,0.968026,0.0921786,-0.127551
52,0.322805,0.429074,-0.506534,0.747876,0.959431,0.107251,-0.126189
53,0.483699,-0.211809,0.10979,-0.971125,0.938406,0.134865,-0.123701
54,0.0268728,0.379634,-0.238645,0.893827,0.926251,0.147171,-0.121776
55,0.321848,-0.0938501,-0.0159166,-0.995459,0.898849,0.168359,-0.118533
56,0.0511491,0.46263,-0.176343,0.868836,0.883963,0.177061,-0.116175
57,0.830338,0.918551,-0.299538,0.257955,0.860284,0.187579,-0.113046
58,0.55832,0.853975,-0.157222,0.495991,0.835449,0.194885,-0.109769
59,0.405655,0.789279,-0.0467191,0.612254,0.80988,0.198859,-0.106399
60,0.156394,0.125183,0.0158111,-0.992008,0.775341,0.198859,-0.102311
61,0.0784347,0.20817,0.0639941,-0.975997,0.749773,0.194885,-0.0989399
62,1.4791,-0.875652,-0.279648,-0.39374,0.724937,0.187579,-0.0956619
63,1.38608,-0.792071,-0.359631,-0.493243,0.701259,0.177061,-0.0925333
64,0.0149844,0.241426,0.234316,-0.941706,0.679145,0.163515,-0.0896066
65,1.44058,-0.684844,-0.54717,-0.481242,0.658972,0.147171,-0.0869326
66,1.30085,-0.561289,-0.553639,-0.615173,0.641085,0.128309,-0.0845559
67,1.39301,-0.507323,-0.656229,-0.558558,0.625791,0.107251,-0.0825186
68,1.50441,-0.434484,-0.76059,-0.482418,0.613352,0.0843573,-0.0808546
69,0.0139583,0.0448203,0.441679,-0.896053,0.603979,0.0600213,-0.0795926
70,0.141915,-0.0413548,0.34733,-0.936831,0.597834,0.0346586,-0.0787546
71,1.40602,0.021862,0.940218,-0.33987,0.59559,0.017404,-0.0783993
72,0.278492,-0.129153,0.225379,-0.965673,0.59559,-0.017404,-0.0783993
73,0.136562,-0.179204,0.35223,-0.918597,0.59953,-0.0432113,-0.078888
74,0.469081,-0.127087,0.0284984,-0.991482,0.606774,-0.0682786,-0.0798126
75,0.0209264,-0.113148,0.440489,0.890599,0.613352,-0.0843573,-0.0808546
76,0.413404,-0.357655,0.649968,0.67054,0.625791,-0.107251,-0.0825186
77,0.570551,-0.506685,0.650196,0.566141,0.641085,-0.128309,-0.0845559
78,0.512953,-0.551959,0.546011,0.630249,0.658972,-0.147171,-0.0869326
79,0.384498,-0.532838,0.411919,0.739193,0.679145,-0.163515,-0.0896066
80,0.490316,-0.642268,0.354249,0.679706,0.701259,-0.177061,-0.0925333
81,0.474516,-0.663119,0.251814,0.704885,0.724937,-0.187579,-0.0956619
82,0.453154,-0.0777283,-0.00796026,-0.996943,0.758299,-0.196587,-0.0996113
83,0.00193737,-0.279711,0.0256338,0.959742,0.775341,-0.198859,-0.102311
84,1.56517,0.869756,0.0604652,-0.489764,0.80988,-0.198859,-0.106399
85,1.44414,0.795835,0.170929,-0.580887,0.835449,-0.194885,-0.109769
86,1.46492,0.783183,0.286215,-0.552001,0.860284,-0.187579,-0.113046
87,0.269574,-0.196313,-0.039383,-0.97975,0.883963,-0.177061,-0.116175
88,0.053572,-0.21648,-0.21854,0.951513,0.898849,-0.168359,-0.118533
89,0.442897,-0.0427619,0.0655604,-0.996932,0.926251,-0.147171,-0.121776
90,1.55152,-0.658396,-0.714434,-0.236852,0.938406,-0.134865,-0.123701
91,1.52576,0.469427,0.773209,-0.426364,0.959431,-0.107251,-0.126189
92,1.43393,0.339658,0.801837,-0.49162,0.971871,-0.0843573,-0.127853
93,0.556273,-0.041257,0.217141,-0.975268,0.981244,-0.0600213,-0.129115
94,0.286148,-0.0143306,-0.561092,0.827629,0.985693,-0.0432113,-0.12982
95,0.518888,-0.102576,0.195322,-0.97536,0.990201,-0.00870199,-0.130354
96,0.326703,0.194195,-0.602763,0.773928,0.976921,0.00870199,-0.207642
97,0.693476,0.265249,-0.83389,0.484014,0.974149,0.0346586,-0.207023
98,0.404201,0.355404,-0.630897,0.689679,0.968089,0.0600213,-0.205705
99,0.0281247,-0.0583399,-0.264977,-0.962488,0.955035,0.0921786,-0.203109
100,1.54686,-0.57848,0.779498,-0.2403,0.941788,0.114501,-0.200319
101,0.241198,-0.132251,-0.0720874,-0.988591,0.925807,0.134865,-0.196946
102,1.47246,0.667842,-0.63991,-0.380135,0.913841,0.147171,-0.194073
103,0.653445,0.79256,-0.468902,0.389845,0.893939,0.163515,-0.189825
104,0.197107,0.629741,-0.233515,0.740876,0.872123,0.177061,-0.185172
105,0.64712,-0.443585,0.0886856,-0.891833,0.840607,0.190381,-0.178903
106,0.297666,0.753687,-0.122077,0.645796,0.824261,0.194885,-0.174979
107,0.42786,0.846815,-0.047727,0.529743,0.799036,0.198859,-0.169613
108,0.604749,0.93074,0.0552838,0.361479,0.773519,0.199429,-0.164189
109,0.387987,0.826144,0.140107,0.545762,0.748146,0.196587,-0.158799
110,0.742399,0.930693,0.295796,0.215211,0.723353,0.190381,-0.153537
111,0.397288,0.782834,0.328069,0.528717,0.699563,0.180919,-0.148492
112,0.407473,0.744238,0.420377,0.51903,0.677183,0.168359,-0.14375
113,0.812544,0.762027,0.630909,0.145839,0.656596,0.152921,-0.139393
114,0.38874,0.617745,0.571116,0.540571,0.638154,0.134865,-0.135494
115,0.275172,0.516335,0.572271,0.637105,0.622173,0.114501,-0.132121
116,0.193301,0.425474,0.567987,0.70453,0.608926,0.0921786,-0.129332
117,0.582951,0.369799,0.83615,0.405095,0.598641,0.0682786,-0.127174
118,1.55801,0.0765774,0.864901,-0.496068,0.591492,0.0432113,-0.125683
119,0.198083,-0.166426,0.302724,-0.938435,0.58704,0.00870199,-0.124798
120,1.56118,-0.0404998,-0.867985,-0.494937,0.587604,-0.017404,-0.124887
121,0.397895,-0.214229,0.103759,-0.971257,0.591492,-0.0432113,-0.125683
122,1.4629,0.147508,-0.77778,-0.610983,0.598641,-0.0682786,-0.127174
123,0.157484,-0.326723,0.294812,-0.897963,0.608926,-0.0921786,-0.129332
124,0.0974008,-0.385923,0.313353,-0.867683,0.622173,-0.114501,-0.132121
125,0.0136686,-0.461699,0.333827,-0.821823,0.638154,-0.134865,-0.135494
126,1.51256,0.542539,-0.572253,-0.614962,0.656596,-0.152921,-0.139393
127,1.50308,0.611849,-0.482962,-0.62641,0.677183,-0.168359,-0.14375
128,0.0520858,-0.511466,0.166431,-0.843032,0.699563,-0.180919,-0.148492
129,1.48195,0.712922,-0.28011,-0.642869,0.723353,-0.190381,-0.153537
130,0.259894,-0.33893,0.0296572,-0.940344,0.748146,-0.196587,-0.158799
131,1.39562,0.714923,-0.0549443,-0.697041,0.773519,-0.199429,-0.164189
132,1.52783,0.807311,0.0594841,-0.587121,0.799036,-0.198859,-0.169613
133,1.45112,0.752226,0.171574,-0.636175,0.824261,-0.194885,-0.174979
134,1.40857,0.702665,0.2775,-0.655176,0.848763,-0.187579,-0.180195
135,0.179055,-0.349068,-0.0790599,-0.933757,0.872123,-0.177061,-0.185172
136,1.39057,0.604416,0.479375,-0.636302,0.893939,-0.163515,-0.189825
137,0.603133,0.000830038,0.169456,-0.985537,0.913841,-0.147171,-0.194073
138,0.278338,-0.213912,-0.434265,0.875018,0.925807,-0.134865,-0.196946
139,0.555641,-0.299297,-0.645054,0.703084,0.941788,-0.114501,-0.200319
140,0.674811,-0.260469,-0.756179,0.600292,0.955035,-0.0921786,-0.203109
141,0.237311,-0.22191,-0.0828549,-0.971541,0.968089,-0.0600213,-0.205705
142,1.4737,0.0950179,0.89558,-0.434635,0.974149,-0.0346586,-0.207023
143,0.262726,-0.198531,-0.0589891,-0.978318,0.976921,-0.00870199,-0.207642
144,1.39484,-0.184831,0.876745,-0.444023,0.957063,0.017404,-0.283516
145,0.494853,-0.299537,0.167844,-0.939205,0.953249,0.0432113,-0.282418
146,0.0773476,0.370817,-0.370754,0.851491,0.948965,0.0600213,-0.281026
147,0.767435,0.502508,-0.797542,0.333785,0.939905,0.0843573,-0.278313
148,0.513084,0.579911,-0.622159,0.525948,0.927879,0.107251,-0.274724
149,0.963225,0.683768,-0.724772,0.0846616,0.913091,0.128309,-0.27032
150,0.279995,0.642673,-0.385033,0.662361,0.895797,0.147171,-0.265174
151,0.424664,-0.329969,0.0412085,-0.943092,0.86924,0.168359,-0.257684
152,1.39177,0.800687,-0.435456,-0.411435,0.854906,0.177061,-0.253026
153,0.172829,-0.089784,-0.062296,-0.994011,0.82398,0.190381,-0.244304
154,1.16246,-0.859051,0.137946,-0.492953,0.799675,0.196587,-0.237113
155,1.22442,-0.894464,0.0485861,-0.444492,0.774804,0.199429,-0.22975
156,0.380199,-0.252143,0.00131194,-0.967689,0.749791,0.198859,-0.222341
157,1.34397,0.877659,0.191898,-0.439192,0.733381,0.196587,-0.217009
158,0.123901,0.0109637,0.0953556,-0.995383,0.701047,0.187579,-0.20789
159,1.26805,0.818715,0.438597,-0.370591,0.685756,0.180919,-0.202921
160,0.33327,0.756936,0.392262,0.522665,0.663817,0.168359,-0.196438
161,0.591071,-0.362127,-0.0847528,-0.928268,0.63726,0.147171,-0.188948
162,0.0705743,0.560606,0.389351,0.73084,0.625556,0.134865,-0.185145
163,0.290687,0.567756,0.581582,0.582595,0.609889,0.114501,-0.180529
164,0.0155694,0.44409,0.436294,0.78258,0.596902,0.0921786,-0.176709
