face,alpha,vx,vy,vz,cx,cy,cz
0,0,0.0578968,-0.315676,0.947099,0.997376,0.00870199,-0.0522613
1,-2.94797,0.0138027,0.126425,0.99188,0.992839,0.0432113,-0.0520826
2,2.81055,-0.164673,0.577595,0.799542,0.985546,0.0682786,-0.0517293
3,9.38753,-0.121096,0.320396,0.939512,0.975049,0.0921786,-0.0512066
4,15.4548,-0.273778,0.459448,0.844957,0.961529,0.114501,-0.050524
5,22.0866,-0.119524,0.180043,0.97637,0.945219,0.134865,-0.0496933
6,21.5348,-0.511254,0.473012,0.717551,0.926393,0.152921,-0.048728
7,28.2673,-0.253936,0.19455,0.947453,0.905378,0.168359,-0.0476446
8,34.3237,-0.46782,0.247158,0.848562,0.882531,0.180919,-0.046462
9,40.6369,-0.478805,0.173988,0.860508,0.858245,0.190381,-0.0452
10,46.8509,-0.562409,0.118271,0.818357,0.832933,0.196587,-0.0438813
11,46.7787,-0.638611,0.0438614,0.768278,0.80703,0.199429,-0.042528
12,53.4991,-0.265088,-0.019868,0.964019,0.780978,0.198859,-0.0411626
13,59.8302,-0.225879,-0.0525354,0.972738,0.755224,0.194885,-0.0398087
14,66.381,0.0228319,-0.00559278,0.999724,0.730208,0.187579,-0.0384893
15,69.0803,0.387418,0.17352,0.905427,0.714179,0.180919,-0.037228
16,66.0823,-0.241,-0.186039,0.952527,0.684082,0.163515,-0.0360453
17,72.4678,-0.148538,-0.163856,0.975237,0.66376,0.147171,-0.034962
18,75.2029,0.218614,0.20657,0.953696,0.651492,0.134865,-0.0339967
19,72.1823,-0.260484,-0.440391,0.859188,0.630336,0.107251,-0.0331653
20,78.4395,-0.214128,-0.50106,0.838504,0.617804,0.0843573,-0.0324827
21,84.9114,-0.0921722,-0.378182,0.921131,0.608362,0.0600213,-0.03196
22,91.4372,0.00519058,-0.168712,0.985652,0.60217,0.0346586,-0.0316067
23,93.7533,0.0400531,0.0118026,0.999128,0.599906,0.017404,-0.0314287
24,47.9688,0.0153611,0.331432,0.943354,0.599906,-0.017404,-0.0314287
25,50.5674,-0.113314,0.707529,0.697541,0.60217,-0.0346586,-0.0316067
26,50.8184,-0.259306,0.82244,0.506313,0.608362,-0.0600213,-0.03196
27,44.3349,-0.304258,0.670923,0.676232,0.617804,-0.0843573,-0.0324827
28,38.0096,-0.36824,0.593219,0.715884,0.630336,-0.107251,-0.0331653
29,28.7318,0.0498232,-0.0120747,0.998685,0.651492,-0.134865,-0.0339967
30,31.4547,-0.326319,0.316841,0.890577,0.66376,-0.147171,-0.034962
31,25.3954,-0.513483,0.363492,0.777309,0.684082,-0.163515,-0.0360453
32,15.6997,0.421794,-0.190845,0.886379,0.714179,-0.180919,-0.037228
33,15.9583,0.203008,-0.0558653,0.977582,0.738465,-0.190381,-0.0384893
34,19.1818,-0.635238,0.132314,0.760898,0.755224,-0.194885,-0.0398087
35,12.8515,-0.600754,0.0414533,0.798359,0.780978,-0.198859,-0.0411626
36,7.01938,-0.882632,-0.0590869,0.466337,0.80703,-0.199429,-0.042528
37,6.96383,-0.834907,-0.170169,0.523423,0.832933,-0.196587,-0.0438813
38,6.96279,-0.79983,-0.278561,0.531672,0.858245,-0.190381,-0.0452
39,6.98066,-0.760639,-0.385251,0.522504,0.882531,-0.180919,-0.046462
40,6.69784,-0.547003,-0.385019,0.743336,0.905378,-0.168359,-0.0476446
41,0.893362,-0.696654,-0.623104,0.355548,0.926393,-0.152921,-0.048728
42,-5.92867,-0.389815,-0.479742,0.786061,0.945219,-0.134865,-0.0496933
43,-5.48832,-0.484194,-0.7511,0.448781,0.961529,-0.114501,-0.050524
44,0.924824,-0.407274,-0.852036,0.328881,0.975049,-0.0921786,-0.0512066
45,0.783491,-0.26978,-0.847552,0.457027,0.985546,-0.0682786,-0.0517293
46,0.305776,-0.0828153,-0.57678,0.812691,0.992839,-0.0432113,-0.0520826
47,0.308524,0.0401118,0.0133295,0.999106,0.997833,-0.017404,-0.026108
48,6.32542,0.132955,-0.355354,0.925228,0.990201,0.00870199,-0.130354
49,3.38857,0.10252,0.0743732,0.991947,0.985693,0.0432113,-0.12982
50,6.20494,0.191876,-0.231242,0.953788,0.981244,0.0600213,-0.129115
51,10.0529,0.242029,-0.265211,0.933319,0.968026,0.0921786,-0.127551
52,12.8892,0.429074,-0.506534,0.747876,0.959431,0.107251,-0.126189
53,9.90848,0.211809,-0.10979,0.971125,0.938406,0.134865,-0.123701
54,12.5932,0.379634,-0.238645,0.893827,0.926251,0.147171,-0.121776
55,16.0298,0.0938501,0.0159166,0.995459,0.898849,0.168359,-0.118533
56,18.9007,0.46263,-0.176343,0.868836,0.883963,0.177061,-0.116175
57,19.6799,0.918551,-0.299538,0.257955,0.860284,0.187579,-0.113046
58,19.4079,0.853975,-0.157222,0.495991,0.835449,0.194885,-0.109769
59,19.2552,0.789279,-0.0467191,0.612254,0.80988,0.198859,-0.106399
60,22.1475,-0.125183,-0.0158111,0.992008,0.775341,0.198859,-0.102311
61,28.3528,-0.20817,-0.0639941,0.975997,0.749773,0.194885,-0.0989399
62,34.4658,-0.36225,-0.158853,0.918445,0.724937,0.187579,-0.0956619
63,40.656,-0.423591,-0.258004,0.868334,0.701259,0.177061,-0.0925333
64,40.8557,-0.241426,-0.234316,0.941706,0.679145,0.163515,-0.0896066
65,46.9937,-0.319297,-0.368312,0.873153,0.658972,0.147171,-0.0869326
66,53.1371,-0.356475,-0.509094,0.783421,0.641085,0.128309,-0.0845559
67,59.5125,-0.246024,-0.510893,0.823687,0.625791,0.107251,-0.0825186
68,65.9071,-0.133032,-0.475548,0.869573,0.613352,0.0843573,-0.0808546
69,72.2706,-0.0448203,-0.441679,0.896053,0.603979,0.0600213,-0.0795926
70,78.6817,0.0413548,-0.34733,0.936831,0.597834,0.0346586,-0.0787546
71,81.5166,0.13249,0.334228,0.933133,0.59559,0.017404,-0.0783993
72,28.5528,0.129153,-0.225379,0.965673,0.59559,-0.017404,-0.0783993
73,28.4109,0.179204,-0.35223,0.918597,0.59953,-0.0432113,-0.078888
74,28.7434,0.127087,-0.0284984,0.991482,0.606774,-0.0682786,-0.0798126
